publicationcode,issuenumber,edition,estimation
fr/D,296,5
fr/D,297,5
fr/D,298,5
fr/D,299,5
fr/D,300,5
fr/D,301,6
fr/D,302,6
fr/D,303,6
fr/D,304,6
fr/D,305,6
fr/D,306,6
fr/D,307,6
fr/D,308,6
fr/D,309,6
fr/D,310,6
fr/D,311,6
fr/D,312,10
fr/D,313,80
fr/AHD,A1,500
fr/AHD,A2,500
fr/AHD,A3,500
fr/AHD,A4,500
fr/AHD,A5,500
fr/AHD,A6,600
fr/AHD,N1,150
fr/AHD,N2,60
fr/AHD,N3,80
fr/AHD,N4,60
fr/AHD,N5,130
fr/AHD,S1,220
fr/AHD,S2,150
fr/AHD,S3,180
fr/AHD,S4,180
fr/AHD,S5,180
fr/AHD,S6,180
fr/AHD,S7,180
fr/AHD,S8,180
fr/AHD,S9,200
fr/AHD,S10,180
fr/AHD,S11,200
fr/AHD,S12,400
fr/GB,4,40
fr/3ED,1,20
fr/GB,11,50
fr/GB,12,30
fr/GB,7,30
fr/DHL,1,15
fr/DHL,2,15
fr/DHL,3,15
fr/DHL,4,15
fr/SBD,2,15
fr/AD,D1,15
fr/AD,D2,15
fr/AD,D3,15
fr/AD,D4,15
fr/AD,D5,15
fr/CHC,2,20
fr/CHC,4,12
fr/Z,1,30
fr//MMS,1,20
fr/GDP,D1,15
fr/GDP,D2,15
