issuecode,seriesamQuery,seriesamTitle,seriesamYear
se/KA1948-01,Kalle+Anka+%26+C%3AO+(1948),1,1948
se/KA1948-02,Kalle+Anka+%26+C%3AO+(1948),2,1948
se/KA1949-01,Kalle+Anka+%26+C%3AO+(1949),1,1949
se/KA1949-02,Kalle+Anka+%26+C%3AO+(1949),2,1949
se/KA1950-01,Kalle+Anka+%26+C%3AO+(1950),1,1950
se/KA1950-02 to se/KA1950-05,Kalle+Anka+%26+C%3AO+(1950),2-5,1950
se/KA1951-01,Kalle+Anka+%26+C%3AO+(1951),1,1951
se/KA1951-02,Kalle+Anka+%26+C%3AO+(1951),2,1951
se/KA1952-01 to se/KA1952-02,Kalle+Anka+%26+C%3AO+(1952),1-2,1952
se/KA1952-03 to se/KA1952-06,Kalle+Anka+%26+C%3AO+(1952),3-6,1952
se/KA1953-01,Kalle+Anka+%26+C%3AO+(1953),1,1953
se/KA1953-02 to se/KA1953-04,Kalle+Anka+%26+C%3AO+(1953),2-4,1953
se/KA1954-01,Kalle+Anka+%26+C%3AO+(1954),1,1954
se/KA1954-02 to se/KA1954-06,Kalle+Anka+%26+C%3AO+(1954),2-6,1954
se/KA1955-01,Kalle+Anka+%26+C%3AO+(1955),1,1955
se/KA1955-02,Kalle+Anka+%26+C%3AO+(1955),2,1955
se/KA1956-01,Kalle+Anka+%26+C%3AO+(1956),1,1956
se/KA1956-02 to se/KA1956-04,Kalle+Anka+%26+C%3AO+(1956),2-4,1956
se/KA1957-01 to se/KA1957-02,Kalle+Anka+%26+C%3AO+(1957),1-2,1957
se/KA1957-03 to se/KA1957-09,Kalle+Anka+%26+C%3AO+(1957),3-9,1957
se/KA1958-01 to se/KA1958-02,Kalle+Anka+%26+C%3AO+(1958),1-2,1958
se/KA1958-03 to se/KA1958-26,Kalle+Anka+%26+C%3AO+(1958),3-26,1958
se/KA1959-01,Kalle+Anka+%26+C%3AO+(1959),1,1959
se/KA1959-02,Kalle+Anka+%26+C%3AO+(1959),2,1959
se/KA1960-01,Kalle+Anka+%26+C%3AO+(1960),1,1960
se/KA1960-02,Kalle+Anka+%26+C%3AO+(1960),2,1960
se/KA1961-01 to se/KA1961-52,Kalle+Anka+%26+C%3AO+(1961),1-52,1961
se/KA1962-01 to se/KA1962-28,Kalle+Anka+%26+C%3AO+(1962),1-28,1962
se/KA1962-29,Kalle+Anka+%26+C%3AO+(1962),29,1962
se/KA1963-01 to se/KA1963-52,Kalle+Anka+%26+C%3AO+(1963),1-52,1963
se/KA1964-01 to se/KA1964-52,Kalle+Anka+%26+C%3AO+(1964),1-52,1964
se/KA1964-53,Kalle+Anka+%26+C%3AO+(1964),53,1964
se/KA1965-01,Kalle+Anka+%26+C%3AO+(1965),1,1965
se/KA1965-02,Kalle+Anka+%26+C%3AO+(1965),2,1965
se/KA1966-01 to se/KA1966-52,Kalle+Anka+%26+C%3AO+(1966),1-52,1966
se/KA1967-01 to se/KA1967-52,Kalle+Anka+%26+C%3AO+(1967),1-52,1967
se/KA1968-01 to se/KA1968-03,Kalle+Anka+%26+C%3AO+(1968),1-3,1968
se/KA1968-04 to se/KA1968-52,Kalle+Anka+%26+C%3AO+(1968),4-52,1968
se/KA1969-01 to se/KA1969-02,Kalle+Anka+%26+C%3AO+(1969),1-2,1969
se/KA1969-03 to se/KA1969-52,Kalle+Anka+%26+C%3AO+(1969),3-52,1969
se/KA1970-01 to se/KA1970-52,Kalle+Anka+%26+C%3AO+(1970),1-52,1970
se/KA1971-01 to se/KA1971-52,Kalle+Anka+%26+C%3AO+(1971),1-52,1971
se/KA1972-01 to se/KA1972-53,Kalle+Anka+%26+C%3AO+(1972),1-53,1972
se/KA1973-01 to se/KA1973-52,Kalle+Anka+%26+C%3AO+(1973),1-52,1973
se/KA1974-01 to se/KA1974-52,Kalle+Anka+%26+C%3AO+(1974),1-52,1974
se/KA1975-01 to se/KA1975-52,Kalle+Anka+%26+C%3AO+(1975),1-52,1975
se/KA1976-01 to se/KA1976-53,Kalle+Anka+%26+C%3AO+(1976),1-53,1976
se/KA1977-01 to se/KA1977-52,Kalle+Anka+%26+C%3AO+(1977),1-52,1977
se/KA1978-01 to se/KA1978-52,Kalle+Anka+%26+C%3AO+(1978),1-52,1978
se/KA1979-01 to se/KA1979-52,Kalle+Anka+%26+C%3AO+(1979),1-52,1979
se/KA1980-01 to se/KA1980-52,Kalle+Anka+%26+C%3AO+(1980),1-52,1980
se/KA1981-01 to se/KA1981-53,Kalle+Anka+%26+C%3AO+(1981),1-53,1981
se/KA1982-01 to se/KA1982-52,Kalle+Anka+%26+C%3AO+(1982),1-52,1982
se/KA1983-01 to se/KA1983-52,Kalle+Anka+%26+C%3AO+(1983),1-52,1983
se/KA1984-01 to se/KA1984-52,Kalle+Anka+%26+C%3AO+(1984),1-52,1984
se/KA1985-01 to se/KA1985-52,Kalle+Anka+%26+C%3AO+(1985),1-52,1985
se/KA1986-01 to se/KA1986-52,Kalle+Anka+%26+C%3AO+(1986),1-52,1986
se/KA1987-01 to se/KA1987-52-53,Kalle+Anka+%26+C%3AO+(1987),1-53 52/53,1987
se/KA1988-01 to se/KA1988-51-52,Kalle+Anka+%26+C%3AO+(1988),1-52 51/52,1988
se/KA1989-01 to se/KA1989-51-52,Kalle+Anka+%26+C%3AO+(1989),1-52 51/52,1989
se/KA1990-01 to se/KA1990-51-52,Kalle+Anka+%26+C%3AO+(1990),1-52 51/52,1990
se/KA1991-01 to se/KA1991-51-52,Kalle+Anka+%26+C%3AO+(1991),1-52 51/52,1991
se/KA1992-01 to se/KA1992-52-53,Kalle+Anka+%26+C%3AO+(1992),1-53 21/22 52/53,1992
se/KA1993-01 to se/KA1993-51-52,Kalle+Anka+%26+C%3AO+(1993),1-52 19/20 51/52,1993
se/KA1994-01 to se/KA1994-51-52,Kalle+Anka+%26+C%3AO+(1994),1-52 13/14 23/24 51/52,1994
se/KA1995-01 to se/KA1995-51-52,Kalle+Anka+%26+C%3AO+(1995),1-52 15/16 21/22 51/52,1995
se/KA1996-01 to se/KA1996-51-52,Kalle+Anka+%26+C%3AO+(1996),1-52 15/16 21/22 51/52,1996
se/KA1997-01 to se/KA1997-51-52,Kalle+Anka+%26+C%3AO+(1997),1-52 13/14 21/22 51/52,1997
se/KA1998-01 to se/KA1998-53-01,Kalle+Anka+%26+C%3AO+(1998),1-53 15/16 23/24 51/52,1998
se/KA1999-02 to se/KA1999-51-52,Kalle+Anka+%26+C%3AO+(1999),1-52 13/14 20/21 51/52,1999
se/KA2000-01 to se/KA2000-51-52,Kalle+Anka+%26+C%3AO+(2000),1-52 16/17 23/24 51/52,2000
se/KA2001-01 to se/KA2001-51-52,Kalle+Anka+%26+C%3AO+(2001),1-52 22/23 51/52,2001
se/KA2002-01 to se/KA2002-51-52,Kalle+Anka+%26+C%3AO+(2002),1-52 13/14 20/21 51/52,2002
se/KA2003-01 to se/KA2003-51-52,Kalle+Anka+%26+C%3AO+(2003),1-52 16/17 23/24 51/52,2003
se/KA2004-01 to se/KA2004-53-01,Kalle+Anka+%26+C%3AO+(2004),1-53 15/16 22/23 51/52,2004
se/KA2005-02 to se/KA2005-51-52,Kalle+Anka+%26+C%3AO+(2005),1-52 11/12 19/20 51/52,2005
se/KA2006-01 to se/KA2006-51-52,Kalle+Anka+%26+C%3AO+(2006),1-52 14/15 21/22 51/52,2006
se/KA2007-01-02 to se/KA2007-51-52,Kalle+Anka+%26+C%3AO+(2007),1-52 1/2 13/14 20/21 51/52,2007
se/KA2008-01-02 to se/KA2008-51-52,Kalle+Anka+%26+C%3AO+(2008),1-52 1/2 12/13 18/19 51/52,2008
se/KA2009-01-02 to se/KA2009-51-52,Kalle+Anka+%26+C%3AO+(2009),1-52 1/2 15/16 21/22 51/52,2009
se/KA2010-01-02 to se/KA2010-51-52,Kalle+Anka+%26+C%3AO+(2010),1-52 1/2 12/13 18/19 51/52,2010
se/KA2011-01-02 to se/KA2011-51-52,Kalle+Anka+%26+C%3AO+(2011),1-52 1/2 15/16 21/22 51/52,2011
se/KA2012-01-02 to se/KA2012-51-52,Kalle+Anka+%26+C%3AO+(2012),1-52 1/2 13/14 19/20 51/52,2012
se/KA2013-01-02 to se/KA2013-51-52,Kalle+Anka+%26+C%3AO+(2013),1-52 1/2 12/13 19/20 51/52,2013
se/KA2014-01-02 to se/KA2014-51-52,Kalle+Anka+%26+C%3AO+(2014),1-52 1/2 15/16 22/23 51/52,2014
se/KA2015-01-02 to se/KA2015-51-52,Kalle+Anka+%26+C%3AO+(2015),1-52 1/2 13/14 20/21 51/52,2015
se/KA2016-01-02 to se/KA2016-51-52,Kalle+Anka+%26+C%3AO+(2016),1-52 1/2 11/12 18/19 51/52,2016
se/KA2017-01-02 to se/KA2017-51-52,Kalle+Anka+%26+C%3AO+(2017),1-52 1/2 14/15 21/22 51/52,2017
se/KA2018-01-02 to se/KA2018-51-52,Kalle+Anka+%26+C%3AO+(2018),1-24 1/2 12/13 19/20 51/52,2018
se/KA2019-01-02 to se/KA2019-51-52,Kalle+Anka+%26+C%3AO+(2019),1-24 1/2 15/16 22/23 51/52,2019
se/KA2020-01-02 to se/KA2020-51-52,Kalle+Anka+%26+C%3AO+(2020),1-24 1/2 14/15 21/22 51/52,2020
se/KALM1968,Kalle+Anka+%26+C%3AO+best%E4llningsprylar+(1968),Prenumerationspresent Väggalmanacka,1968
se/KALM1969,Kalle+Anka+%26+C%3AO+best%E4llningsprylar+(1969),Prenumerationspresent Väggalmanacka,1969
